"Name","Team","Pos","AB","R","HR","RBI","SB","AVG","FlanaprogTiering","BOSTeam","BOSPos","ALPos"
"Nick Castellanos","Det","OF",476,51,11,48,4,0.252,4,"**","","OF4"
"Nick Markakis","Bal","OF",578,76,12,61,3,0.281,10,"**","","OF4"
"Nick Swisher","Cle","1B,OF",554,77,22,76,2,0.254,10,"**","","1B"
"Nolan Reimold DL","Bal","DH",280,35,12,35,4,0.231,2,"**","","DH"
"Norichika Aoki","KC","OF",552,75,7,42,22,0.282,10,"**","","OF5"
"Omar Infante","KC","2B",524,59,8,50,8,0.292,8,"**","","2B"
"Oswaldo Arcia","Min","OF",476,55,20,67,3,0.252,8,"**","","DH"
"Paul Konerko","CWS","1B",332,39,12,45,0,0.27,3,"**","","RES1"
"Pedro Ciriaco","KC","SS",136,15,2,11,6,0.25,2,"**","","MI"
"Pedro Florimon","Min","SS",382,40,7,37,12,0.237,2,"**","","SS"
"Prince Fielder","Tex","1B",581,86,32,105,1,0.293,17,"**","","CI"
"Rajai Davis","Det","OF",299,41,5,27,32,0.256,6,"**","","OF5"
"Raul Ibanez","LAA","OF",441,54,21,64,1,0.235,6,"**","","OF5"
"Robbie Grossman","Hou","OF",366,45,6,29,6,0.24,1,"**","","DH"
"Robinson Cano","Sea","2B",596,90,23,96,6,0.305,17,"**","","MI"
"Ryan Flaherty","Bal","2B",351,39,14,43,3,0.239,2,"**","","MI"
"Ryan Goins","Tor","2B",354,32,5,33,4,0.244,1,"**","","MI"
"Ryan Hanigan","TB","C",235,23,3,23,1,0.249,1,"**","","C2"
"Ryan Raburn","Cle","OF",283,37,12,42,1,0.239,1,"**","","OF4"
"Salvador Perez","KC","C",492,56,15,71,1,0.297,8,"**","","C1"
"Sean Rodriguez ","TB","1B,OF",229,29,6,27,4,0.235,1,"**","","OF4"
"Shane Victorino","Bos","OF",512,77,13,59,23,0.272,11,"**","","OF5"
"Shin-Soo Choo","Tex","OF",567,97,18,64,20,0.278,14,"**","","OF4"
"Stephen Vogt","Oak","C",132,16,4,16,1,0.244,0,"**","","DH"
"Steve Lombardozzi","Bal","2B,OF",226,24,2,19,5,0.264,3,"**","","OF5"
"Steve Pearce","Bal","DH",222,27,8,28,2,0.25,1,"**","","RES1"
"Torii Hunter","Det","OF",560,81,16,75,5,0.28,11,"**","","DH"
"Trevor Plouffe","Min","3B",503,59,18,59,3,0.25,6,"**","","3B"
"Tyler Flowers","CWS","C",290,32,12,32,1,0.212,1,"**","","C1"
"Victor Martinez ","Det","DH",550,70,14,84,1,0.296,11,"**","","RES1"
"Wil Myers","TB","OF",578,79,24,87,9,0.264,15,"**","","OF5"
"Will Middlebrooks","Bos","3B",487,58,24,78,6,0.257,10,"**","","3B"
"Xander Bogaerts","Bos","3B",513,71,15,66,8,0.273,9,"**","","RES1"
"Yan Gomes","Cle","C",394,48,14,52,3,0.26,4,"**","","C2"
"Yeones Cespedes","Oak","OF",534,78,25,87,11,0.259,14,"**","","OF4"
"Yunel Escobar","TB","SS",502,61,9,52,4,0.259,6,"**","","SS"
